Tarih;Saat;Toplam;Benzin;LPG;FuelOil;Hibrit;Motorin;Elektrik;Yenilenebilir;EndustriyelYakýt;CNG;ÝthalDizel;Biyoyakit;YurtDisiYakýt;"AtikYagYakiti
AtikYagYakiti"
01.01.2023;00:00;28816,55;3949,91;4606,97;5453,69;970,45;9175,7;1092,41;0;65,5;1291,48;379,5;961,25;725,43;71,4
01.01.2023;01:00;27589,25;3466,92;3877,84;5470,05;922,68;9171,23;1115,61;0;65;1294,89;384,02;960,31;718,64;71,41
01.01.2023;02:00;26328,82;2975,03;2871,59;5536,07;859,02;9179,17;1179,2;0;65,1;1300,19;390,69;972,19;856,02;71,69
01.01.2023;03:00;25224,4;2961,44;1795,41;5674,8;762,43;8988,99;1298;0;65,6;1302,1;384,23;975,04;870,42;73,08
01.01.2023;04:00;24636,46;2625,46;1410,1;5728,2;634,6;8951,34;1422,68;0;65,8;1304,29;397,28;981,36;968,22;74,27
01.01.2023;05:00;24376,01;2278,67;1332,73;5758,55;670,77;8976,04;1551,95;0;66,2;1306,7;402;975,16;913,1;71,28
01.01.2023;06:00;24487,64;2500,42;1374,2;5720,85;640,17;8722,9;1700,02;1,33;65,5;1303,72;356,6;965,42;990,49;73,16
01.01.2023;07:00;24852,58;2591,6;1565,82;5737,57;675,98;8682,04;1775,39;17,52;64,8;1305,4;407,27;961,23;922,1;73
01.01.2023;08:00;23966,99;2265,9;1729,17;5483,09;756,85;7946,93;1841,58;115,09;64;1309,08;404,87;952,41;950,49;74,67
01.01.2023;09:00;23722,68;2084,09;1721,47;5475,14;970,46;7553,25;1795,87;341,8;65,4;1304,47;410,02;947,82;907,19;75,05
01.01.2023;10:00;23721,65;2335,51;2107,53;5545,15;901,27;7030,04;1552,57;519,55;66;1294,54;407,56;954,4;862,75;74,13
01.01.2023;11:00;23874,69;1985,87;2452,25;5568,93;830,86;7327,44;1351,6;665,72;64,9;1279,19;407,94;941,81;849,24;76,08
01.01.2023;12:00;23981,35;2017,77;2691,88;5419,94;789,25;7634,28;1152,6;750;64,8;1266,99;406,56;939,22;698,42;76,78
01.01.2023;13:00;24215,5;2016,61;2891,57;5340,58;763,59;7602,56;1118,51;895,17;64,9;1263,79;417,38;946,98;747,7;75,51
01.01.2023;14:00;24713,14;2166,02;3234,26;5382,86;875,39;7144,62;1146,78;983,79;65;1248,57;409,98;950,64;957,25;77,33
01.01.2023;15:00;25915,21;2455,56;3480,97;5426,69;887,15;7975,91;1133,03;838,14;65,3;1236,63;416,16;945,58;913;70,44
01.01.2023;16:00;28653,88;4151,17;3750,6;5367,39;1057,73;9058,96;1230,03;351,13;65,2;1222,97;416,66;957,63;884,31;69,45
01.01.2023;17:00;31841,07;6475,6;4576,75;5344,35;1070,95;9245,02;1422,94;24,46;64,3;1235,22;406,02;955,8;876,48;72,53
01.01.2023;18:00;34230,39;7279,88;5852,77;5381,15;1161,81;9251,54;1619,15;0;64,5;1267,79;399,52;971,77;837,67;72,19
01.01.2023;19:00;34357,82;6960,95;6093,88;5391,14;1141,1;9192,15;1767,04;0;64,3;1281,65;411,25;971,65;939,57;72,49
01.01.2023;20:00;33747,14;6898,28;5560,4;5414,03;1120,27;9253,32;1782,65;0;64,3;1293,97;406,64;974,61;835,9;72,12
01.01.2023;21:00;32941,56;6857,96;4627,72;5527,16;1153,35;9055,85;1942,49;0;64,5;1293,86;409,54;980,63;883,6;74,25
01.01.2023;22:00;32108,28;5837,73;4902,55;5592,54;1097,07;8963,5;1945,75;0;64,5;1300,54;411,66;965,83;883,06;70,69
01.01.2023;23:00;30720,64;4258,23;5092,64;5586,14;1113,58;9128,98;1808,37;0;64,4;1288,32;410,72;942,05;881,61;74,95
02.01.2023;00:00;29179,53;3574,99;4462,7;5671,29;839,22;9205,3;1692,31;0;64,4;1302,8;399,33;956,5;867,33;72,71
02.01.2023;01:00;27668,48;3492;3240,86;5582,38;814,94;9226,64;1481,85;0;65,2;1307,74;391,41;953;966;73,6
02.01.2023;02:00;26649,5;3547,65;2395,11;5579,1;725,05;9197,86;1385,74;0;63,9;1298,31;390,74;959,29;959,04;74,85
02.01.2023;03:00;26206,26;3792,3;1653,62;5676,09;669,73;9250,47;1330,37;0;64,5;1303,94;407,22;964,3;949,47;71,39
02.01.2023;04:00;26147,14;3864,05;1442,57;5693,42;804,15;9255,23;1226,24;0;64,3;1310,68;403,95;967,72;970,6;71,37
02.01.2023;05:00;26552,36;3977,13;1671,17;5714,01;869,65;9259,19;1228,73;0;63,7;1312,22;399,87;948,52;963,01;72,3
